words,count
sa,2810
ng,2501
na,2208
ang,2185
mga,880
at,865
ni,587
ay,444
si,388
pa,335
para,330
hindi,302
niya,265
ito,262
isang,254
naman,249
po,233
lang,216
,206
ko,195
of,184
and,181
nito,180
kaniyang,178
dahil,177
noong,176
o,175
kanilang,173
siya,170
may,158
rin,155
the,149
nang,148
to,144
daw,143
din,134
mo,128
city,125
nitong,125
kung,122
raw,117
mula,113
sila,113
nila,111
bilang,111
pebrero,106
yung,105
matapos,101
kaya,101
ako,101
post,97
ayon,95
a,93
you,91
niyang,90
ilang,90
anak,89
i,87
naging,83
kay,83
wala,81
upang,80
sinabi,80
kami,75
ngayon,75
hanggang,74
nagkakahalaga,73
araw,72
sana,72
lamang,72
lotto,72
umano,71
gusto,71
nasabing,71
nasa,70
isa,69
police,68
facebook,68
di,65
kasi,65
lunes,65
dito,64
lungsod,63
pero,62
is,62
lahat,62
aniya,59
pang,59
video,58
ani,58
for,57
kaniya,57
mas,55
lugar,54
larawan,54
pahayag,54
mayroon,53
netizens,52
health,51
-,51
bata,50
nais,50
taon,50
ibinahagi,50
nanalo,50
nga,49
maraming,48
balita,48
peb,48
this,47
sina,47
bahay,46
with,46
siyang,46
talaga,46
network,46
philippine,46
saan,45
enero,45
iyong,45
taong,45
dagdag,45
so,44
that,44
willie,44
office,44
act,43
pamilya,43
tila,43
in,43
kang,43
my,42
tao,42
as,42
nyo,42
bagong,42
alltv,41
samantala,41
iyon,40
habang,40
tungkol,40
maging,40
buhay,40
programa,40
we,39
abs-cbn,39
i-message,39
i-share,39
bang,39
host,39
grand,39
walang,39
road,38
staff,38
iba,38
mong,38
naturang,37
nilang,37
dating,37
storya,37
mai-feature,37
ba,37
manila,36
kasama,36
revillame,36
on,35
pulis,35
carla,35
pasay,35
dalawa,35
show,35
panayam,35
marami,35
itong,35
bahagi,34
meralco,34
instagram,34
mag-asawa,34
me,34
its,34
gabi,34
mega,34
kahit,33
online,33
twitter,33
ngunit,33
silang,33
national,32
department,32
pinayuhan,32
by,32
natin,32
kabilang,32
it,32
loob,32
legarte,32
ka,32
tatlong,32
dapat,32
parang,32
linggo,32
biyernes,32
tuwing,32
love,31
netizen,31
naia,30
no,30
batang,30
babae,30
be,30
sabado,30
karylle,29
bansa,29
pala,29
agad,29
showbiz,29
kilalang,29
saad,29
kanila,29
namin,29
miyerkules,29
gayunpaman,29
de,28
pera,28
pagkawala,28
dalawang,28
kayo,28
paolo,27
kanyang,27
mabuti,27
public,27
bago,27
tulong,27
jackpot,27
vice,26
kamakailan,26
matatandaang,26
guro,26
tv,26
premyo,26
pcso,26
davao,25
ulat,25
house,25
boy,25
pagiging,25
amingfacebookattwitter,25
manlalaro,25
aso,24
batas,24
social,24
ibang,24
sir,24
dapitan,24
sergeant,24
residente,24
page,24
media,24
lalo,24
alam,24
have,24
star,24
ikatlong,24
like,23
baby,23
but,23
makita,23
kapuso,23
lalaki,23
pamamagitan,23
kong,23
muna,23
group,22
security,22
sabi,22
dennis,22
san,22
kahabaan,22
kuryente,22
kaso,22
are,22
toni,22
buwan,22
mahigit,22
tanong,22
oras,22
apat,22
nina,22
villar,22
lindol,22
binobola,22
gantimpala,22
kaugnay,21
amerika,21
vegas,21
pangarap,21
gayundin,21
inanunsyo,21
isyu,21
namang,21
nangyari,21
kim,20
centers,20
bian,20
ring,20
your,20
pagkain,20
pamahalaang,20
madaling,20
simula,20
all,20
umanoy,20
kapamilya,20
them,20
vlog,20
nagsimula,20
wowowin,20
thank,19
kuya,19
live,19
may-ari,19
doon,19
paliwanag,19
bea,19
government,19
our,19
pilipinas,19
eh,19
-anyos,18
center,18
paglabag,18
suspek,18
sibuyas,18
insidente,18
magiging,18
station,18
nararamdaman,18
natuwa,18
unang,18
umanong,18
company,18
an,18
im,18
ogie,18
ilan,18
aktres,18
will,18
years,18
talk,18
madalas,18
gma,18
sobrang,18
not,18
pm,18
limang,18
bobi,17
bill,17
rep,17
kaibigan,17
laban,17
komento,17
binanggit,17
malaking,17
kapag,17
investment,17
personal,17
huwag,17
mag-aral,17
akala,17
uploader,17
buong,17
impormasyon,17
karagdagang,17
biktima,17
or,17
noon,17
ganda,17
tampok,17
relasyon,17
always,17
kita,17
test,17
kayong,17
ating,17
bobias,16
presyo,16
trending,16
donnalyn,16
isinagawang,16
barangay,16
bawat,16
bukod,16
dahilan,16
pokwang,16
kinausap,16
pinagalitan,16
site,16
landing,16
gawin,16
alas-,16
can,16
umabot,16
kasalukuyang,16
happy,16
raf,16
from,16
kuwento,16
estudyante,16
fight,16
time,16
talagang,16
akong,16
una,16
phivolcs,16
prize,16
mental,15
pag-ulan,15
am,15
much,15
milyong,15
cristy,15
island,15
humingi,15
sey,15
good,15
las,15
maispatan,15
magpadala,15
pasilidad,15
ipatutupad,15
drug,15
pasyente,15
tayo,15
baka,15
aming,15
just,15
was,15
santos,15
couple,15
power,15
oktubre,15
hinggil,15
sabihin,15
ganoon,15
tapos,15
